Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
2007,Upper Fraser,Bowron River,,,,,,,,,,,
2007,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,104,0,52,52,98.13,51,1,2,
2007,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2014,Upper Fraser,Bowron River,,,,,,,,,,,
2014,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,175,0,79,96,94.65,91,5,2,
2014,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2014,Upper Fraser,Sus Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2015,Upper Fraser,Bowron River,,,,,,,,,,,
2015,Upper Fraser,Huckey Creek,T2,Bowron - Early Summer,29,0,10,19,90.1,17,2,2,
2015,Upper Fraser,Pomeroy Creek,T2,Bowron - Early Summer,0,0,0,0,0,0,0,2,
2006,Quesnel,Cariboo River,,,,,,,,,,,
2007,Quesnel,Cariboo River,,,,,,,,,,,
2013,Quesnel,Cariboo River,,,,,,,,,,,
2010,Quesnel,Cariboo River,,,,,,,,,,,
2012,Quesnel,Cariboo River,,,,,,,,,,,
2014,Quesnel,Cariboo River,,,,,,,,,,,
2015,Quesnel,Cariboo River,,,,,,,,,,,
1940,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,15000,184,8061,6755,100,6755,0,3,
1971,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,12323,1120,4033,7170,93.75,6722,448,3,
1972,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,2132,249,670,1213,100,1213,0,3,
1974,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,14464,14001,84,379,88.89,337,42,3,
1975,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,55144,10252,11667,33225,95.59,31760,1465,3,
1976,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,23156,518,5821,16817,99.57,16745,72,3,
1977,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,2460,669,836,955,57.89,553,402,3,
1978,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,7339,3899,596,2844,100,2844,0,3,
1979,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,32400,8933,10000,13467,97.03,13067,400,3,
1980,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,30168,221,12782,17165,99.9,17148,17,3,
1981,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,240,60,100,80,100,80,0,3,
1982,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,11288,1613,3112,6563,99.71,6544,19,3,
1983,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,55061,1448,18187,35426,99.76,35341,85,3,
1984,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,127696,135,63104,64457,97.97,63149,1308,3,
1985,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,2000,1460,279,261,100,261,0,3,
1986,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,13574,1541,4823,7210,95.32,6872,338,3,
1987,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,188789,7375,51058,130356,98.66,128615,1741,3,
1988,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,110608,1887,37279,71442,99.57,71134,308,3,
1989,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,20128,9899,2310,7919,100,7919,0,3,
1939,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
1941,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
1942,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
1943,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
1944,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
1947,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,0,0,0,0,0,0,0,3,
